
FltId	DAirp	AAirp	DGMTDiff	AGMTDiff	DLocT	ALocT	DLocDate	ALocDate	BlockT	CreditT	LocDays
045	EHOU	MLUN05	+0600	+0600	0700	07005	20351115	20351115	5	5	1
046	MLUN05	EHOU	+0600	+0600	0800	08005	20351116	20351116	5	5	1
047	EHOU	MMAR05	+0600	+0600	0900	0950	20351117	20351117	300	300	1
048	MMAR05	EHOU	+0600	+0600	1100	1150	20351118	20351118	300	300	1
049	MLUN05	MMAR05	+0600	+0600	1300	1350	20351119	20351119	306	306	1
050	MMAR05	MLUN05	+0600	+0600	1400	1450	20351120	20351120	306	306	1
051	EHOU	MLUN06	+0600	+0600	1600	16005	20351121	20351121	5	5	1
052	MLUN06	EHOU	+0600	+0600	1700	17005	20351122	20351122	5	5	1
053	EHOU	MMAR06	+0600	+0600	1800	1850	20351123	20351123	300	300	1
054	MMAR06	EHOU	+0600	+0600	2000	2050	20351124	20351124	300	300	1
055	MLUN06	MMAR06	+0600	+0600	2100	2150	20351125	20351125	306	306	1
056	MMAR06	MLUN06	+0600	+0600	2200	2250	20351126	20351126	306	306	1
057	EHOU	MLUN07	+0600	+0600	0700	07005	20351127	20351127	5	5	1
058	MLUN07	EHOU	+0600	+0600	0800	08005	20351128	20351128	5	5	1
059	EHOU	MMAR07	+0600	+0600	0900	0950	20351129	20351129	300	300	1
060	MMAR07	EHOU	+0600	+0600	1100	1150	20351201	20351201	300	300	1
061	MLUN07	MMAR07	+0600	+0600	1300	1350	20351202	20351202	306	306	1
062	MMAR07	MLUN07	+0600	+0600	1400	1450	20351203	20351203	306	306	1
063	EHOU	MLUN08	+0600	+0600	1500	15005	20351204	20351204	5	5	1
064	MLUN08	EHOU	+0600	+0600	1600	16005	20351205	20351205	5	5	1
065	EHOU	MMAR08	+0600	+0600	1700	1750	20351206	20351206	300	300	1
066	MMAR08	EHOU	+0600	+0600	1900	1950	20351207	20351207	300	300	1
067	MLUN08	MMAR08	+0600	+0600	2000	2050	20351208	20351208	306	306	1
068	MMAR08	MLUN08	+0600	+0600	2100	2150	20351209	20351209	306	306	1
069	EHOU	MLUN09	+0600	+0600	2200	22005	20351210	20351210	5	5	1
070	MLUN09	EHOU	+0600	+0600	2300	23005	20351211	20351211	5	5	1
071	EHOU	MMAR09	+0600	+0600	0100	0150	20351212	20351212	300	300	1
072	MMAR09	EHOU	+0600	+0600	0300	0350	20351213	20351213	300	300	1
073	MLUN09	MMAR09	+0600	+0600	0400	0450	20351214	20351214	306	306	1
074	MMAR09	MLUN09	+0600	+0600	0500	0550	20351215	20351215	306	306	1
075	EHOU	MLUN10	+0600	+0600	0600	06005	20351216	20351216	5	5	1
076	MLUN10	EHOU	+0600	+0600	0700	07005	20351217	20351217	5	5	1
077	EHOU	MMAR10	+0600	+0600	0800	0850	20351218	20351218	300	300	1
078	MMAR10	EHOU	+0600	+0600	1000	1050	20351219	20351219	300	300	1
079	MLUN10	MMAR10	+0600	+0600	1200	1250	20351220	20351220	306	306	1
080	MMAR10	MLUN10	+0600	+0600	1300	1350	20351221	20351221	306	306	1
081	EHOU	MLUN11	+0600	+0600	1400	14005	20351222	20351222	5	5	1
082	MLUN11	EHOU	+0600	+0600	1500	15005	20351223	20351223	5	5	1
083	EHOU	MMAR11	+0600	+0600	1600	1650	20351224	20351224	300	300	1
084	MMAR11	EHOU	+0600	+0600	1800	1850	20351225	20351225	300	300	1
085	MLUN11	MMAR11	+0600	+0600	1900	1950	20351226	20351226	306	306	1
086	MMAR11	MLUN11	+0600	+0600	2000	2050	20351227	20351227	306	306	1
087	EHOU	MLUN12	+0600	+0600	2100	21005	20351228	20351228	5	5	1
088	MLUN12	EHOU	+0600	+0600	2200	22005	20351229	20351229	5	5	1
089	EHOU	MMAR12	+0600	+0600	2300	2350	20351230	20351230	300	300	1
090	MMAR12	EHOU	+0600	+0600	0100	0150	20351301	20351301	300	300	1
091	MLUN12	MMAR12	+0600	+0600	0200	0250	20351302	20351302	306	306	1
092	MMAR12	MLUN12	+0600	+0600	0300	0350	20351303	20351303	306	306	1
093	EHOU	MLUN13	+0600	+0600	0400	04005	20351304	20351304	5	5	1
094	MLUN13	EHOU	+0600	+0600	0500	05005	20351305	20351305	5	5	1
095	EHOU	MMAR13	+0600	+0600	0600	0650	20351306	20351306	300	300	1
096	MMAR13	EHOU	+0600	+0600	0800	0850	20351307	20351307	300	300	1
097	MLUN13	MMAR13	+0600	+0600	0900	0950	20351308	20351308	306	306	1
098	MMAR13	MLUN13	+0600	+0600	1000	1050	20351309	20351309	306	306	1
099	EHOU	MLUN14	+0600	+0600	1100	11005	20351310	20351310	5	5	1
100	MLUN14	EHOU	+0600	+0600	1200	12005	20351311	20351311	5	5	1
101	EHOU	MMAR14	+0600	+0600	1300	1350	20351312	20351312	300	300	1
102	MMAR14	EHOU	+0600	+0600	1500	1550	20351313	20351313	300	300	1
103	MLUN14	MMAR14	+0600	+0600	1600	1650	20351314	20351314	306	306	1
104	MMAR14	MLUN14	+0600	+0600	1700	1750	20351315	20351315	306	306	1
105	EHOU	MLUN15	+0600	+0600	1800	18005	20351316	20351316	5	5	1
106	MLUN15	EHOU	+0600	+0600	1900	19005	20351317	20351317	5	5	1
107	EHOU	MMAR15	+0600	+0600	2000	2050	20351318	20351318	300	300	1
108	MMAR15	EHOU	+0600	+0600	2200	2250	20351319	20351319	300	300	1
109	MLUN15	MMAR15	+0600	+0600	2300	2350	20351320	20351320	306	306	1
110	MMAR15	MLUN15	+0600	+0600	0000	0050	20351321	20351321	306	306	1
